# Wavelength(micron) (Rp/Rs)^2 sqrt((Rp/Rs)^2)
4.951408e+01 8.979159e-04 2.996524e-02
4.951078e+01 8.917112e-04 2.986153e-02
4.950747e+01 9.024748e-04 3.004122e-02
4.950417e+01 9.764446e-04 3.124811e-02
4.950087e+01 1.001398e-03 3.164488e-02
4.949757e+01 9.166551e-04 3.027631e-02
4.949427e+01 9.233935e-04 3.038739e-02
4.949098e+01 9.360415e-04 3.059480e-02
4.948768e+01 9.376974e-04 3.062185e-02
4.948438e+01 9.154881e-04 3.025703e-02
4.948108e+01 8.898970e-04 2.983114e-02
4.947778e+01 9.030484e-04 3.005076e-02
4.947448e+01 8.938137e-04 2.989672e-02
4.947118e+01 8.929910e-04 2.988296e-02
4.946789e+01 9.038654e-04 3.006435e-02
4.946459e+01 8.974370e-04 2.995725e-02
4.946129e+01 9.042343e-04 3.007049e-02
4.945799e+01 9.003587e-04 3.000598e-02
4.945470e+01 9.019920e-04 3.003318e-02
4.945140e+01 9.257507e-04 3.042615e-02
4.944810e+01 9.185902e-04 3.030825e-02
4.944481e+01 9.093140e-04 3.015483e-02
4.944151e+01 9.099849e-04 3.016596e-02
4.943821e+01 9.011123e-04 3.001853e-02
4.943492e+01 8.976810e-04 2.996132e-02
4.943162e+01 8.950278e-04 2.991702e-02
4.942833e+01 9.034409e-04 3.005729e-02
4.942503e+01 9.205028e-04 3.033979e-02
4.942174e+01 9.080294e-04 3.013353e-02
4.941844e+01 9.031515e-04 3.005248e-02
4.941515e+01 9.062603e-04 3.010416e-02
4.941186e+01 9.066910e-04 3.011131e-02
4.940856e+01 9.109497e-04 3.018194e-02
4.940527e+01 9.182599e-04 3.030280e-02
4.940197e+01 9.232011e-04 3.038423e-02
4.939868e+01 9.479011e-04 3.078800e-02
4.939539e+01 9.794672e-04 3.129644e-02
4.939210e+01 9.883251e-04 3.143764e-02
4.938880e+01 9.850903e-04 3.138615e-02
4.938551e+01 9.785610e-04 3.128196e-02
4.938222e+01 9.515131e-04 3.084661e-02
4.937893e+01 9.616202e-04 3.101000e-02
4.937563e+01 9.419153e-04 3.069064e-02
4.937234e+01 9.168057e-04 3.027880e-02
4.936905e+01 9.262865e-04 3.043496e-02
4.936576e+01 9.589497e-04 3.096691e-02
4.936247e+01 9.721736e-04 3.117970e-02
4.935918e+01 9.383415e-04 3.063236e-02
4.935589e+01 9.381610e-04 3.062941e-02
4.935260e+01 9.496622e-04 3.081659e-02
4.934931e+01 9.379225e-04 3.062552e-02
4.934602e+01 9.383181e-04 3.063198e-02
4.934273e+01 9.511101e-04 3.084007e-02
4.933944e+01 1.105450e-03 3.324830e-02
4.933615e+01 1.105556e-03 3.324990e-02
4.933286e+01 1.099489e-03 3.315855e-02
4.932957e+01 1.040751e-03 3.226067e-02
4.932629e+01 9.668844e-04 3.109476e-02
4.932300e+01 9.245077e-04 3.040572e-02
4.931971e+01 9.254771e-04 3.042165e-02
4.931642e+01 9.239550e-04 3.039663e-02
4.931313e+01 9.288056e-04 3.047631e-02
4.930985e+01 9.123223e-04 3.020467e-02
4.930656e+01 9.048167e-04 3.008017e-02
4.930327e+01 9.051467e-04 3.008566e-02
4.929999e+01 9.101926e-04 3.016940e-02
4.929670e+01 9.150633e-04 3.025001e-02
4.929341e+01 9.249301e-04 3.041266e-02
4.929013e+01 9.327764e-04 3.054139e-02
4.928684e+01 9.569945e-04 3.093533e-02
4.928356e+01 1.104920e-03 3.324034e-02
4.928027e+01 1.104934e-03 3.324055e-02
4.927699e+01 1.040721e-03 3.226020e-02
4.927370e+01 9.667901e-04 3.109325e-02
4.927042e+01 9.152536e-04 3.025316e-02
4.926713e+01 9.134260e-04 3.022294e-02
4.926385e+01 9.020987e-04 3.003496e-02
4.926056e+01 8.990133e-04 2.998355e-02
4.925728e+01 8.965424e-04 2.994232e-02
4.925400e+01 8.960154e-04 2.993352e-02
4.925071e+01 8.951306e-04 2.991873e-02
4.924743e+01 9.126594e-04 3.021025e-02
4.924415e+01 8.936607e-04 2.989416e-02
4.924086e+01 8.937145e-04 2.989506e-02
4.923758e+01 8.907977e-04 2.984623e-02
4.923430e+01 9.101098e-04 3.016803e-02
4.923102e+01 9.063453e-04 3.010557e-02
4.922773e+01 8.998289e-04 2.999715e-02
4.922445e+01 9.094522e-04 3.015712e-02
4.922117e+01 8.945137e-04 2.990842e-02
4.921789e+01 9.005379e-04 3.000896e-02
4.921461e+01 8.916803e-04 2.986102e-02
4.921133e+01 8.852935e-04 2.975388e-02
4.920805e+01 8.945018e-04 2.990822e-02
4.920477e+01 8.958547e-04 2.993083e-02
4.920149e+01 8.954563e-04 2.992418e-02
4.919821e+01 8.815639e-04 2.969114e-02
4.919493e+01 8.842592e-04 2.973650e-02
4.919165e+01 8.911148e-04 2.985155e-02
4.918837e+01 8.818355e-04 2.969571e-02
4.918509e+01 8.894955e-04 2.982441e-02
4.918181e+01 8.876585e-04 2.979360e-02
4.917853e+01 8.835385e-04 2.972438e-02
4.917526e+01 8.952677e-04 2.992102e-02
4.917198e+01 8.894026e-04 2.982285e-02
4.916870e+01 8.850631e-04 2.975001e-02
4.916542e+01 8.926484e-04 2.987722e-02
4.916214e+01 8.872165e-04 2.978618e-02
4.915887e+01 9.032302e-04 3.005379e-02
4.915559e+01 9.097870e-04 3.016268e-02
4.915231e+01 9.092685e-04 3.015408e-02
4.914904e+01 8.950995e-04 2.991821e-02
4.914576e+01 9.272098e-04 3.045012e-02
4.914248e+01 9.952759e-04 3.154799e-02
4.913921e+01 1.004371e-03 3.169181e-02
4.913593e+01 9.984568e-04 3.159837e-02
4.913266e+01 9.866447e-04 3.141090e-02
4.912938e+01 8.974057e-04 2.995673e-02
4.912611e+01 8.949575e-04 2.991584e-02
4.912283e+01 9.363933e-04 3.060054e-02
4.911956e+01 8.968770e-04 2.994790e-02
4.911628e+01 8.885865e-04 2.980917e-02
4.911301e+01 8.900936e-04 2.983444e-02
4.910973e+01 9.030909e-04 3.005147e-02
4.910646e+01 8.912548e-04 2.985389e-02
4.910319e+01 8.953900e-04 2.992307e-02
4.909991e+01 8.847128e-04 2.974412e-02
4.909664e+01 8.800201e-04 2.966513e-02
4.909337e+01 8.948858e-04 2.991464e-02
4.909009e+01 8.843420e-04 2.973789e-02
4.908682e+01 8.850303e-04 2.974946e-02
4.908355e+01 8.939477e-04 2.989896e-02
4.908028e+01 8.878263e-04 2.979641e-02
4.907701e+01 8.965368e-04 2.994222e-02
4.907373e+01 9.033225e-04 3.005532e-02
4.907046e+01 9.372598e-04 3.061470e-02
4.906719e+01 9.146811e-04 3.024370e-02
4.906392e+01 8.962507e-04 2.993745e-02
4.906065e+01 9.110697e-04 3.018393e-02
4.905738e+01 9.081143e-04 3.013494e-02
4.905411e+01 8.844599e-04 2.973987e-02
4.905084e+01 9.028117e-04 3.004682e-02
4.904757e+01 9.626616e-04 3.102679e-02
4.904430e+01 9.467650e-04 3.076955e-02
4.904103e+01 9.389610e-04 3.064247e-02
4.903776e+01 9.167581e-04 3.027801e-02
4.903449e+01 8.994825e-04 2.999137e-02
4.903122e+01 9.007104e-04 3.001184e-02
4.902796e+01 9.211524e-04 3.035049e-02
4.902469e+01 9.060726e-04 3.010104e-02
4.902142e+01 9.053860e-04 3.008963e-02
4.901815e+01 9.342120e-04 3.056488e-02
4.901488e+01 9.196906e-04 3.032640e-02
4.901162e+01 8.958398e-04 2.993058e-02
4.900835e+01 8.885146e-04 2.980796e-02
4.900508e+01 9.019261e-04 3.003208e-02
4.900181e+01 8.850724e-04 2.975017e-02
4.899855e+01 8.896868e-04 2.982762e-02
4.899528e+01 8.929865e-04 2.988288e-02
4.899202e+01 8.867839e-04 2.977892e-02
4.898875e+01 8.910682e-04 2.985077e-02
4.898548e+01 8.852028e-04 2.975236e-02
4.898222e+01 8.798857e-04 2.966287e-02
4.897895e+01 9.046455e-04 3.007733e-02
4.897569e+01 8.960036e-04 2.993332e-02
4.897242e+01 8.952530e-04 2.992078e-02
4.896916e+01 9.059959e-04 3.009977e-02
4.896589e+01 9.488298e-04 3.080308e-02
4.896263e+01 9.476833e-04 3.078447e-02
4.895937e+01 9.378801e-04 3.062483e-02
4.895610e+01 9.202252e-04 3.033521e-02
4.895284e+01 9.189581e-04 3.031432e-02
4.894958e+01 9.248182e-04 3.041082e-02
4.894631e+01 9.246269e-04 3.040768e-02
4.894305e+01 9.108994e-04 3.018111e-02
4.893979e+01 8.900769e-04 2.983416e-02
4.893652e+01 8.987372e-04 2.997895e-02
4.893326e+01 8.881949e-04 2.980260e-02
4.893000e+01 8.909891e-04 2.984944e-02
4.892674e+01 9.140055e-04 3.023252e-02
4.892348e+01 9.289157e-04 3.047812e-02
4.892022e+01 8.930151e-04 2.988336e-02
4.891695e+01 9.210865e-04 3.034941e-02
4.891369e+01 9.144439e-04 3.023977e-02
4.891043e+01 9.327018e-04 3.054017e-02
4.890717e+01 9.987873e-04 3.160360e-02
4.890391e+01 1.000735e-03 3.163439e-02
4.890065e+01 9.849892e-04 3.138454e-02
4.889739e+01 9.363755e-04 3.060025e-02
4.889413e+01 9.148650e-04 3.024674e-02
4.889087e+01 9.169813e-04 3.028170e-02
4.888761e+01 9.542854e-04 3.089151e-02
4.888436e+01 1.027148e-03 3.204914e-02
4.888110e+01 1.029874e-03 3.209165e-02
4.887784e+01 1.000492e-03 3.163055e-02
4.887458e+01 9.683965e-04 3.111907e-02
4.887132e+01 9.398490e-04 3.065696e-02
4.886806e+01 9.273738e-04 3.045281e-02
4.886481e+01 9.256408e-04 3.042435e-02
4.886155e+01 9.374297e-04 3.061747e-02
4.885829e+01 9.019244e-04 3.003206e-02
4.885503e+01 8.963319e-04 2.993880e-02
4.885178e+01 9.077216e-04 3.012842e-02
4.884852e+01 9.161554e-04 3.026806e-02
4.884526e+01 9.020920e-04 3.003485e-02
4.884201e+01 8.986175e-04 2.997695e-02
4.883875e+01 8.985632e-04 2.997604e-02
4.883550e+01 8.878529e-04 2.979686e-02
4.883224e+01 8.841743e-04 2.973507e-02
4.882899e+01 9.084762e-04 3.014094e-02
4.882573e+01 9.427842e-04 3.070479e-02
4.882248e+01 9.222413e-04 3.036843e-02
4.881922e+01 9.105804e-04 3.017582e-02
4.881597e+01 9.153073e-04 3.025405e-02
4.881271e+01 9.125360e-04 3.020821e-02
4.880946e+01 9.127056e-04 3.021102e-02
4.880621e+01 9.154621e-04 3.025660e-02
4.880295e+01 9.129656e-04 3.021532e-02
4.879970e+01 9.104207e-04 3.017318e-02
4.879645e+01 9.059648e-04 3.009925e-02
4.879319e+01 9.019609e-04 3.003266e-02
4.878994e+01 9.001913e-04 3.000319e-02
4.878669e+01 9.046745e-04 3.007781e-02
4.878344e+01 9.415356e-04 3.068445e-02
4.878018e+01 9.452483e-04 3.074489e-02
4.877693e+01 9.331106e-04 3.054686e-02
4.877368e+01 9.097832e-04 3.016261e-02
4.877043e+01 9.048070e-04 3.008001e-02
4.876718e+01 8.934437e-04 2.989053e-02
4.876393e+01 9.025298e-04 3.004213e-02
4.876068e+01 9.056128e-04 3.009340e-02
4.875743e+01 9.330985e-04 3.054666e-02
4.875418e+01 1.028032e-03 3.206294e-02
4.875093e+01 1.020146e-03 3.193972e-02
4.874768e+01 9.986905e-04 3.160207e-02
4.874443e+01 1.049846e-03 3.240133e-02
4.874118e+01 1.046017e-03 3.234219e-02
4.873793e+01 1.033849e-03 3.215352e-02
4.873468e+01 9.780866e-04 3.127438e-02
4.873143e+01 9.128237e-04 3.021297e-02
4.872818e+01 9.251162e-04 3.041572e-02
4.872493e+01 9.247696e-04 3.041002e-02
4.872168e+01 9.993352e-04 3.161226e-02
4.871844e+01 1.003544e-03 3.167876e-02
4.871519e+01 9.826494e-04 3.134724e-02
4.871194e+01 9.340651e-04 3.056248e-02
4.870869e+01 9.070786e-04 3.011775e-02
4.870545e+01 9.175736e-04 3.029148e-02
4.870220e+01 9.076311e-04 3.012692e-02
4.869895e+01 9.006271e-04 3.001045e-02
4.869571e+01 8.949972e-04 2.991650e-02
4.869246e+01 8.946780e-04 2.991117e-02
4.868922e+01 9.193449e-04 3.032070e-02
4.868597e+01 9.304617e-04 3.050347e-02
4.868272e+01 9.229243e-04 3.037967e-02
4.867948e+01 9.091344e-04 3.015186e-02
4.867623e+01 9.472170e-04 3.077689e-02
4.867299e+01 9.626352e-04 3.102636e-02
4.866974e+01 9.138607e-04 3.023013e-02
4.866650e+01 8.918787e-04 2.986434e-02
4.866326e+01 9.042157e-04 3.007018e-02
4.866001e+01 8.965376e-04 2.994224e-02
4.865677e+01 9.060853e-04 3.010125e-02
4.865352e+01 9.055229e-04 3.009191e-02
4.865028e+01 9.082568e-04 3.013730e-02
4.864704e+01 9.100634e-04 3.016726e-02
4.864379e+01 9.248175e-04 3.041081e-02
4.864055e+01 9.282089e-04 3.046652e-02
4.863731e+01 9.525536e-04 3.086347e-02
4.863407e+01 9.530367e-04 3.087129e-02
4.863083e+01 9.479792e-04 3.078927e-02
4.862758e+01 9.152090e-04 3.025242e-02
4.862434e+01 9.129462e-04 3.021500e-02
4.862110e+01 9.410410e-04 3.067639e-02
4.861786e+01 1.094503e-03 3.308327e-02
4.861462e+01 1.089272e-03 3.300412e-02
4.861138e+01 9.971680e-04 3.157797e-02
4.860814e+01 9.546676e-04 3.089770e-02
4.860490e+01 9.463173e-04 3.076227e-02
4.860166e+01 9.132973e-04 3.022081e-02
4.859842e+01 9.273847e-04 3.045299e-02
4.859518e+01 9.384836e-04 3.063468e-02
4.859194e+01 9.289307e-04 3.047837e-02
4.858870e+01 9.168292e-04 3.027919e-02
4.858546e+01 9.312413e-04 3.051625e-02
4.858222e+01 9.304191e-04 3.050277e-02
4.857898e+01 9.079380e-04 3.013201e-02
4.857574e+01 8.963624e-04 2.993931e-02
4.857250e+01 9.203819e-04 3.033780e-02
4.856927e+01 9.023682e-04 3.003944e-02
4.856603e+01 8.998081e-04 2.999680e-02
4.856279e+01 8.922536e-04 2.987061e-02
4.855955e+01 8.899992e-04 2.983286e-02
4.855632e+01 8.996732e-04 2.999455e-02
4.855308e+01 9.408337e-04 3.067301e-02
4.854984e+01 9.594620e-04 3.097518e-02
4.854661e+01 9.851480e-04 3.138707e-02
4.854337e+01 1.008512e-03 3.175707e-02
4.854014e+01 1.002755e-03 3.166630e-02
4.853690e+01 1.022500e-03 3.197655e-02
4.853366e+01 1.027081e-03 3.204811e-02
4.853043e+01 9.885127e-04 3.144062e-02
4.852719e+01 9.658425e-04 3.107801e-02
4.852396e+01 9.703787e-04 3.115090e-02
4.852072e+01 9.733648e-04 3.119880e-02
4.851749e+01 9.711950e-04 3.116400e-02
4.851425e+01 9.623104e-04 3.102113e-02
4.851102e+01 9.206132e-04 3.034161e-02
4.850779e+01 9.435285e-04 3.071691e-02
4.850455e+01 9.908472e-04 3.147773e-02
4.850132e+01 9.963002e-04 3.156422e-02
4.849809e+01 9.786754e-04 3.128379e-02
4.849485e+01 9.239425e-04 3.039642e-02
4.849162e+01 9.035635e-04 3.005933e-02
4.848839e+01 9.244391e-04 3.040459e-02
4.848516e+01 9.222148e-04 3.036799e-02
4.848192e+01 9.168126e-04 3.027891e-02
4.847869e+01 9.126561e-04 3.021020e-02
4.847546e+01 9.047184e-04 3.007854e-02
4.847223e+01 8.928764e-04 2.988104e-02
4.846900e+01 9.083428e-04 3.013873e-02
4.846577e+01 9.013061e-04 3.002176e-02
4.846254e+01 9.072768e-04 3.012104e-02
4.845931e+01 9.103420e-04 3.017188e-02
4.845607e+01 8.928953e-04 2.988135e-02
4.845284e+01 8.921717e-04 2.986924e-02
4.844961e+01 8.924971e-04 2.987469e-02
4.844638e+01 9.377216e-04 3.062224e-02
4.844316e+01 9.440052e-04 3.072467e-02
4.843993e+01 9.255616e-04 3.042304e-02
4.843670e+01 8.957306e-04 2.992876e-02
4.843347e+01 8.947798e-04 2.991287e-02
4.843024e+01 8.989319e-04 2.998219e-02
4.842701e+01 9.130455e-04 3.021664e-02
4.842378e+01 9.043023e-04 3.007162e-02
4.842055e+01 8.918362e-04 2.986363e-02
4.841733e+01 9.073658e-04 3.012251e-02
4.841410e+01 9.236029e-04 3.039084e-02
4.841087e+01 9.264364e-04 3.043742e-02
4.840764e+01 8.999938e-04 2.999990e-02
4.840442e+01 9.011987e-04 3.001997e-02
4.840119e+01 9.043056e-04 3.007167e-02
4.839796e+01 9.105313e-04 3.017501e-02
4.839474e+01 8.914328e-04 2.985687e-02
4.839151e+01 9.471216e-04 3.077534e-02
4.838829e+01 9.880037e-04 3.143253e-02
4.838506e+01 9.485354e-04 3.079830e-02
4.838183e+01 9.229230e-04 3.037965e-02
4.837861e+01 9.325446e-04 3.053759e-02
4.837538e+01 9.169369e-04 3.028097e-02
4.837216e+01 8.821931e-04 2.970174e-02
4.836894e+01 9.000420e-04 3.000070e-02
4.836571e+01 9.263809e-04 3.043651e-02
4.836249e+01 9.335217e-04 3.055359e-02
4.835926e+01 9.310786e-04 3.051358e-02
4.835604e+01 9.218017e-04 3.036119e-02
4.835282e+01 8.840117e-04 2.973233e-02
4.834959e+01 8.922118e-04 2.986991e-02
4.834637e+01 8.897806e-04 2.982919e-02
4.834315e+01 9.014739e-04 3.002456e-02
4.833992e+01 9.075736e-04 3.012596e-02
4.833670e+01 8.970687e-04 2.995111e-02
4.833348e+01 8.959469e-04 2.993237e-02
4.833026e+01 9.013416e-04 3.002235e-02
4.832703e+01 9.049368e-04 3.008217e-02
4.832381e+01 9.245463e-04 3.040635e-02
4.832059e+01 9.562564e-04 3.092340e-02
4.831737e+01 9.742696e-04 3.121329e-02
4.831415e+01 9.591606e-04 3.097032e-02
4.831093e+01 9.421184e-04 3.069395e-02
4.830771e+01 9.127707e-04 3.021209e-02
4.830449e+01 9.030357e-04 3.005055e-02
4.830127e+01 9.051168e-04 3.008516e-02
4.829805e+01 8.914228e-04 2.985670e-02
4.829483e+01 9.148099e-04 3.024582e-02
4.829161e+01 8.982271e-04 2.997044e-02
4.828839e+01 9.000621e-04 3.000104e-02
4.828517e+01 8.921005e-04 2.986805e-02
4.828195e+01 8.869033e-04 2.978092e-02
4.827873e+01 9.066415e-04 3.011049e-02
4.827552e+01 8.885051e-04 2.980780e-02
4.827230e+01 8.812151e-04 2.968527e-02
4.826908e+01 8.868564e-04 2.978013e-02
4.826586e+01 9.044964e-04 3.007485e-02
4.826264e+01 9.460513e-04 3.075795e-02
4.825943e+01 8.943698e-04 2.990602e-02
4.825621e+01 8.997863e-04 2.999644e-02
4.825299e+01 9.035899e-04 3.005977e-02
4.824978e+01 9.057267e-04 3.009529e-02
4.824656e+01 9.301203e-04 3.049787e-02
4.824334e+01 9.335454e-04 3.055398e-02
4.824013e+01 9.314709e-04 3.052001e-02
4.823691e+01 9.205515e-04 3.034059e-02
4.823370e+01 8.979059e-04 2.996508e-02
4.823048e+01 8.892156e-04 2.981972e-02
4.822727e+01 8.885102e-04 2.980789e-02
4.822405e+01 9.016982e-04 3.002829e-02
4.822084e+01 8.792946e-04 2.965290e-02
4.821762e+01 8.832316e-04 2.971921e-02
4.821441e+01 8.907374e-04 2.984522e-02
4.821119e+01 9.303446e-04 3.050155e-02
4.820798e+01 9.247442e-04 3.040961e-02
4.820477e+01 9.747501e-04 3.122099e-02
4.820155e+01 9.714237e-04 3.116767e-02
4.819834e+01 9.631605e-04 3.103483e-02
4.819513e+01 9.127298e-04 3.021142e-02
4.819191e+01 8.888529e-04 2.981364e-02
4.818870e+01 9.116351e-04 3.019329e-02
4.818549e+01 9.086809e-04 3.014433e-02
4.818228e+01 8.950811e-04 2.991791e-02
4.817906e+01 8.875681e-04 2.979208e-02
4.817585e+01 8.947655e-04 2.991263e-02
4.817264e+01 9.282099e-04 3.046654e-02
4.816943e+01 9.455727e-04 3.075017e-02
4.816622e+01 9.487397e-04 3.080162e-02
4.816301e+01 9.363052e-04 3.059911e-02
4.815980e+01 8.948754e-04 2.991447e-02
4.815659e+01 8.884696e-04 2.980721e-02
4.815338e+01 8.967415e-04 2.994564e-02
4.815017e+01 9.233514e-04 3.038670e-02
4.814696e+01 9.214580e-04 3.035553e-02
4.814375e+01 9.049018e-04 3.008159e-02
4.814054e+01 9.095516e-04 3.015877e-02
4.813733e+01 9.107823e-04 3.017917e-02
4.813412e+01 9.009405e-04 3.001567e-02
4.813091e+01 8.906284e-04 2.984340e-02
4.812770e+01 8.970930e-04 2.995151e-02
4.812449e+01 9.009918e-04 3.001653e-02
4.812129e+01 9.002720e-04 3.000453e-02
4.811808e+01 8.897177e-04 2.982814e-02
4.811487e+01 8.955883e-04 2.992638e-02
4.811166e+01 8.980023e-04 2.996669e-02
4.810846e+01 9.071598e-04 3.011909e-02
